y_w,ge_timestamp,lt_timestamp
199452,788442409,789047209
199501,789047209,789652009
199502,789652009,790256809
199503,790256809,790861609
199504,790861609,791466409
199505,791466409,792071209
199506,792071209,792676009
199507,792676009,793280809
199508,793280809,793885609
199509,793885609,794490409
199510,794490409,795095209
199511,795095209,795700009
199512,795700009,796304809
199513,796304809,796909609
199514,796909609,797514409
199515,797514409,798119209
199516,798119209,798724009
199517,798724009,799328809
199518,799328809,799933609
199519,799933609,800538409
199520,800538409,801143209
199521,801143209,801748009
199522,801748009,802352809
199523,802352809,802957609
199524,802957609,803562409
199525,803562409,804167209
199526,804167209,804772009
199527,804772009,805376809
199528,805376809,805981609
199529,805981609,806586409
199530,806586409,807191209
199531,807191209,807796009
199532,807796009,808400809
199533,808400809,809005609
199534,809005609,809610409
199535,809610409,810215209
199536,810215209,810820009
199537,810820009,811424809
199538,811424809,812029609
199539,812029609,812634409
199540,812634409,813239209
199541,813239209,813844009
199542,813844009,814448809
199543,814448809,815053609
199544,815053609,815658409
199545,815658409,816263209
199546,816263209,816868009
199547,816868009,817472809
199548,817472809,818077609
199549,818077609,818682409
199550,818682409,819287209
199551,819287209,819892009
199552,819892009,820496809
199601,820496809,821101609
199602,821101609,821706409
199603,821706409,822311209
199604,822311209,822916009
199605,822916009,823520809
199606,823520809,824125609
199607,824125609,824730409
199608,824730409,825335209
199609,825335209,825940009
199610,825940009,826544809
199611,826544809,827149609
199612,827149609,827754409
199613,827754409,828359209
199614,828359209,828964009
199615,828964009,829568809
199616,829568809,830173609
199617,830173609,830778409
199618,830778409,831383209
199619,831383209,831988009
199620,831988009,832592809
199621,832592809,833197609
199622,833197609,833802409
199623,833802409,834407209
199624,834407209,835012009
199625,835012009,835616809
199626,835616809,836221609
199627,836221609,836826409
199628,836826409,837431209
199629,837431209,838036009
199630,838036009,838640809
199631,838640809,839245609
199632,839245609,839850409
199633,839850409,840455209
199634,840455209,841060009
199635,841060009,841664809
199636,841664809,842269609
199637,842269609,842874409
199638,842874409,843479209
199639,843479209,844084009
199640,844084009,844688809
199641,844688809,845293609
199642,845293609,845898409
199643,845898409,846503209
199644,846503209,847108009
199645,847108009,847712809
199646,847712809,848317609
199647,848317609,848922409
199648,848922409,849527209
199649,849527209,850132009
199650,850132009,850736809
199651,850736809,851341609
199652,851341609,852119209
199701,852119209,852551209
199702,852551209,853156009
199703,853156009,853760809
199704,853760809,854365609
199705,854365609,854970409
199706,854970409,855575209
199707,855575209,856180009
199708,856180009,856784809
199709,856784809,857389609
199710,857389609,857994409
199711,857994409,858599209
199712,858599209,859204009
199713,859204009,859808809
199714,859808809,860413609
199715,860413609,861018409
199716,861018409,861623209
199717,861623209,862228009
199718,862228009,862832809
199719,862832809,863437609
199720,863437609,864042409
199721,864042409,864647209
199722,864647209,865252009
199723,865252009,865856809
199724,865856809,866461609
199725,866461609,867066409
199726,867066409,867671209
199727,867671209,868276009
199728,868276009,868880809
199729,868880809,869485609
199730,869485609,870090409
199731,870090409,870695209
199732,870695209,871300009
199733,871300009,871904809
199734,871904809,872509609
199735,872509609,873114409
199736,873114409,873719209
199737,873719209,874324009
199738,874324009,874928809
199739,874928809,875533609
199740,875533609,876138409
199741,876138409,876743209
199742,876743209,877348009
199743,877348009,877952809
199744,877952809,878557609
199745,878557609,879162409
199746,879162409,879767209
199747,879767209,880372009
199748,880372009,880976809
199749,880976809,881581609
199750,881581609,882186409
199751,882186409,882791209
199752,882791209,883655209
199801,883655209,884000809
199802,884000809,884605609
199803,884605609,885210409
199804,885210409,885815209
199805,885815209,886420009
199806,886420009,887024809
199807,887024809,887629609
199808,887629609,888234409
199809,888234409,888839209
199810,888839209,889444009
199811,889444009,890048809
199812,890048809,890653609
199813,890653609,891258409
199814,891258409,891863209
199815,891863209,892468009
199816,892468009,893072809
199817,893072809,893677609
199818,893677609,894282409
199819,894282409,894887209
199820,894887209,895492009
199821,895492009,896096809
199822,896096809,896701609
199823,896701609,897306409
199824,897306409,897911209
199825,897911209,898516009
199826,898516009,899120809
199827,899120809,899725609
199828,899725609,900330409
199829,900330409,900935209
199830,900935209,901540009
199831,901540009,902144809
199832,902144809,902749609
199833,902749609,903354409
199834,903354409,903959209
199835,903959209,904564009
199836,904564009,905168809
199837,905168809,905773609
199838,905773609,906378409
199839,906378409,906983209
199840,906983209,907588009
199841,907588009,908192809
199842,908192809,908797609
199843,908797609,909402409
199844,909402409,910007209
199845,910007209,910612009
199846,910612009,911216809
